candidate_id,had_skills_on_file,strategy,n_recommendations,n_relevant_actions,any_relevant_action
newcand_53,True,popularity_baseline,10,2,True
newcand_54,True,popularity_baseline,10,0,False
newcand_55,True,popularity_baseline,10,3,True
newcand_56,True,popularity_baseline,10,1,True
newcand_57,True,popularity_baseline,10,3,True
newcand_58,True,popularity_baseline,10,0,False
newcand_59,True,popularity_baseline,10,3,True
newcand_60,True,popularity_baseline,10,1,True
newcand_61,True,popularity_baseline,10,3,True
newcand_62,True,popularity_baseline,10,1,True
newcand_63,True,popularity_baseline,10,0,False
newcand_64,True,popularity_baseline,10,3,True
newcand_65,True,popularity_baseline,10,0,False
newcand_66,True,popularity_baseline,10,0,False
newcand_67,True,popularity_baseline,10,2,True
newcand_68,True,popularity_baseline,10,2,True
newcand_69,True,popularity_baseline,10,1,True
newcand_70,True,popularity_baseline,10,2,True
newcand_71,True,popularity_baseline,10,3,True
newcand_72,True,popularity_baseline,10,1,True
newcand_73,True,popularity_baseline,10,1,True
newcand_74,True,popularity_baseline,10,2,True
newcand_75,True,popularity_baseline,10,0,False
newcand_76,True,popularity_baseline,10,1,True
newcand_77,True,popularity_baseline,10,0,False
newcand_78,True,popularity_baseline,10,2,True
newcand_79,True,popularity_baseline,10,0,False
newcand_80,True,popularity_baseline,10,1,True
newcand_81,True,popularity_baseline,10,0,False
newcand_82,True,popularity_baseline,10,2,True
newcand_83,True,popularity_baseline,10,2,True
newcand_84,True,popularity_baseline,10,2,True
newcand_85,True,popularity_baseline,10,1,True
newcand_86,True,popularity_baseline,10,0,False
newcand_87,True,popularity_baseline,10,5,True
newcand_88,True,popularity_baseline,10,1,True
newcand_89,True,popularity_baseline,10,1,True
newcand_90,True,popularity_baseline,10,2,True
newcand_91,True,popularity_baseline,10,2,True
newcand_92,True,popularity_baseline,10,4,True
newcand_93,True,popularity_baseline,10,1,True
newcand_94,True,popularity_baseline,10,1,True
newcand_95,True,popularity_baseline,10,0,False
newcand_96,True,popularity_baseline,10,2,True
newcand_97,True,popularity_baseline,10,0,False
newcand_98,True,popularity_baseline,10,3,True
newcand_99,True,popularity_baseline,10,2,True
newcand_100,True,popularity_baseline,10,1,True
newcand_101,True,popularity_baseline,10,0,False
newcand_102,True,popularity_baseline,10,2,True
newcand_103,True,popularity_baseline,10,3,True
newcand_104,True,popularity_baseline,10,2,True
newcand_105,True,popularity_baseline,10,1,True
newcand_106,True,popularity_baseline,10,4,True
newcand_107,True,popularity_baseline,10,0,False
newcand_108,True,popularity_baseline,10,2,True
newcand_109,True,popularity_baseline,10,2,True
newcand_110,True,popularity_baseline,10,2,True
newcand_111,True,popularity_baseline,10,3,True
newcand_112,True,popularity_baseline,10,1,True
newcand_113,True,popularity_baseline,10,1,True
newcand_114,True,popularity_baseline,10,1,True
newcand_115,True,popularity_baseline,10,0,False
newcand_116,True,popularity_baseline,10,1,True
newcand_117,True,popularity_baseline,10,2,True
newcand_118,True,popularity_baseline,10,2,True
newcand_119,True,popularity_baseline,10,1,True
newcand_120,True,popularity_baseline,10,1,True
newcand_121,True,popularity_baseline,10,0,False
newcand_122,True,popularity_baseline,10,1,True
newcand_123,True,popularity_baseline,10,1,True
newcand_124,True,popularity_baseline,10,3,True
newcand_125,True,popularity_baseline,10,1,True
newcand_126,True,popularity_baseline,10,1,True
newcand_127,False,popularity_baseline,10,1,True
newcand_128,True,popularity_baseline,10,0,False
newcand_129,True,popularity_baseline,10,1,True
newcand_130,True,popularity_baseline,10,1,True
newcand_131,True,popularity_baseline,10,1,True
newcand_132,True,popularity_baseline,10,2,True
newcand_133,True,popularity_baseline,10,1,True
newcand_134,True,popularity_baseline,10,1,True
newcand_135,True,popularity_baseline,10,2,True
newcand_136,True,popularity_baseline,10,2,True
newcand_137,True,popularity_baseline,10,1,True
newcand_138,True,popularity_baseline,10,3,True
newcand_139,True,popularity_baseline,10,2,True
newcand_140,True,popularity_baseline,10,1,True
newcand_141,True,popularity_baseline,10,5,True
newcand_142,True,popularity_baseline,10,1,True
newcand_143,True,popularity_baseline,10,0,False
newcand_144,False,popularity_baseline,10,4,True
newcand_145,True,popularity_baseline,10,1,True
newcand_146,True,popularity_baseline,10,0,False
newcand_147,True,popularity_baseline,10,0,False
newcand_148,True,popularity_baseline,10,4,True
newcand_149,True,popularity_baseline,10,3,True
newcand_150,True,popularity_baseline,10,1,True
newcand_151,True,popularity_baseline,10,0,False
newcand_152,True,popularity_baseline,10,2,True
newcand_153,True,popularity_baseline,10,1,True
newcand_154,True,popularity_baseline,10,2,True
newcand_155,True,popularity_baseline,10,1,True
newcand_156,True,popularity_baseline,10,2,True
newcand_157,True,popularity_baseline,10,2,True
newcand_158,True,popularity_baseline,10,1,True
newcand_159,True,popularity_baseline,10,0,False
newcand_160,True,popularity_baseline,10,4,True
newcand_161,True,popularity_baseline,10,0,False
newcand_162,True,popularity_baseline,10,4,True
newcand_163,True,popularity_baseline,10,2,True
newcand_164,True,popularity_baseline,10,1,True
newcand_165,True,popularity_baseline,10,1,True
newcand_166,True,popularity_baseline,10,1,True
newcand_167,True,popularity_baseline,10,2,True
newcand_168,True,popularity_baseline,10,1,True
newcand_169,True,popularity_baseline,10,1,True
newcand_170,True,popularity_baseline,10,0,False
newcand_171,True,popularity_baseline,10,2,True
newcand_172,True,popularity_baseline,10,0,False
newcand_173,True,popularity_baseline,10,1,True
newcand_174,True,popularity_baseline,10,1,True
newcand_175,True,popularity_baseline,10,0,False
newcand_176,True,popularity_baseline,10,1,True
newcand_177,True,popularity_baseline,10,1,True
newcand_178,True,popularity_baseline,10,1,True
newcand_179,True,popularity_baseline,10,0,False
newcand_180,True,popularity_baseline,10,3,True
newcand_181,True,popularity_baseline,10,1,True
newcand_182,True,popularity_baseline,10,1,True
newcand_183,True,popularity_baseline,10,0,False
newcand_184,True,popularity_baseline,10,2,True
newcand_185,True,popularity_baseline,10,0,False
newcand_186,True,popularity_baseline,10,0,False
newcand_187,True,popularity_baseline,10,0,False
newcand_188,False,popularity_baseline,10,1,True
newcand_189,True,popularity_baseline,10,1,True
newcand_190,True,popularity_baseline,10,0,False
newcand_191,True,popularity_baseline,10,1,True
newcand_192,True,popularity_baseline,10,1,True
newcand_193,True,popularity_baseline,10,2,True
newcand_194,True,popularity_baseline,10,3,True
newcand_195,True,popularity_baseline,10,2,True
newcand_196,True,popularity_baseline,10,1,True
newcand_197,False,popularity_baseline,10,1,True
newcand_198,True,popularity_baseline,10,0,False
newcand_199,True,popularity_baseline,10,1,True
newcand_200,True,popularity_baseline,10,1,True
newcand_201,True,popularity_baseline,10,1,True
newcand_202,True,popularity_baseline,10,1,True
newcand_203,True,popularity_baseline,10,1,True
newcand_204,True,popularity_baseline,10,1,True
newcand_205,True,popularity_baseline,10,1,True
newcand_206,True,popularity_baseline,10,1,True
newcand_207,True,popularity_baseline,10,2,True
newcand_208,True,popularity_baseline,10,2,True
newcand_209,True,popularity_baseline,10,0,False
newcand_210,True,popularity_baseline,10,3,True
newcand_211,True,popularity_baseline,10,1,True
newcand_212,True,popularity_baseline,10,1,True
newcand_213,True,popularity_baseline,10,2,True
newcand_214,True,popularity_baseline,10,3,True
newcand_215,False,popularity_baseline,10,0,False
newcand_216,True,popularity_baseline,10,0,False
newcand_217,True,popularity_baseline,10,3,True
newcand_218,True,popularity_baseline,10,1,True
newcand_219,False,popularity_baseline,10,0,False
newcand_220,True,popularity_baseline,10,1,True
newcand_221,True,popularity_baseline,10,1,True
newcand_222,True,popularity_baseline,10,0,False
newcand_223,True,popularity_baseline,10,2,True
newcand_224,True,popularity_baseline,10,2,True
newcand_225,True,popularity_baseline,10,0,False
newcand_226,True,popularity_baseline,10,1,True
newcand_227,True,popularity_baseline,10,2,True
newcand_228,True,popularity_baseline,10,1,True
newcand_229,False,popularity_baseline,10,0,False
newcand_230,True,popularity_baseline,10,1,True
newcand_231,True,popularity_baseline,10,3,True
newcand_232,False,popularity_baseline,10,0,False
newcand_233,True,popularity_baseline,10,1,True
newcand_234,True,popularity_baseline,10,1,True
newcand_235,True,popularity_baseline,10,2,True
newcand_236,True,popularity_baseline,10,0,False
newcand_237,True,popularity_baseline,10,0,False
newcand_238,True,popularity_baseline,10,1,True
newcand_239,True,popularity_baseline,10,0,False
newcand_240,True,popularity_baseline,10,2,True
newcand_241,True,popularity_baseline,10,0,False
newcand_242,True,popularity_baseline,10,0,False
newcand_243,True,popularity_baseline,10,3,True
newcand_244,True,popularity_baseline,10,0,False
newcand_245,False,popularity_baseline,10,1,True
newcand_246,True,popularity_baseline,10,0,False
newcand_247,True,popularity_baseline,10,1,True
newcand_248,False,popularity_baseline,10,0,False
newcand_249,True,popularity_baseline,10,2,True
newcand_250,True,popularity_baseline,10,0,False
newcand_251,True,popularity_baseline,10,1,True
newcand_252,True,popularity_baseline,10,2,True
newcand_253,True,popularity_baseline,10,2,True
newcand_254,True,popularity_baseline,10,0,False
newcand_255,True,popularity_baseline,10,1,True
newcand_256,True,popularity_baseline,10,1,True
newcand_257,True,popularity_baseline,10,0,False
newcand_258,True,popularity_baseline,10,2,True
newcand_259,True,popularity_baseline,10,1,True
newcand_260,True,popularity_baseline,10,2,True
newcand_261,True,popularity_baseline,10,3,True
newcand_262,True,popularity_baseline,10,0,False
newcand_263,True,popularity_baseline,10,1,True
newcand_264,False,popularity_baseline,10,0,False
newcand_265,True,popularity_baseline,10,2,True
newcand_266,True,popularity_baseline,10,3,True
newcand_267,False,popularity_baseline,10,0,False
newcand_268,True,popularity_baseline,10,2,True
newcand_269,True,popularity_baseline,10,3,True
newcand_270,True,popularity_baseline,10,1,True
newcand_271,True,popularity_baseline,10,2,True
newcand_272,False,popularity_baseline,10,0,False
newcand_273,True,popularity_baseline,10,1,True
newcand_274,True,popularity_baseline,10,3,True
newcand_275,True,popularity_baseline,10,1,True
newcand_276,True,popularity_baseline,10,0,False
newcand_277,True,popularity_baseline,10,5,True
newcand_278,False,popularity_baseline,10,0,False
newcand_279,True,popularity_baseline,10,2,True
newcand_280,True,popularity_baseline,10,1,True
newcand_281,True,popularity_baseline,10,1,True
newcand_282,True,popularity_baseline,10,2,True
newcand_283,True,popularity_baseline,10,0,False
newcand_284,False,popularity_baseline,10,0,False
newcand_285,True,popularity_baseline,10,1,True
newcand_286,True,popularity_baseline,10,2,True
newcand_287,True,popularity_baseline,10,1,True
newcand_288,True,popularity_baseline,10,1,True
newcand_289,True,popularity_baseline,10,0,False
newcand_290,True,popularity_baseline,10,1,True
newcand_291,True,popularity_baseline,10,0,False
newcand_292,False,popularity_baseline,10,0,False
newcand_293,True,popularity_baseline,10,2,True
newcand_294,True,popularity_baseline,10,2,True
newcand_295,True,popularity_baseline,10,1,True
newcand_296,True,popularity_baseline,10,3,True
newcand_297,True,popularity_baseline,10,2,True
newcand_298,False,popularity_baseline,10,0,False
newcand_299,True,popularity_baseline,10,1,True
newcand_300,True,popularity_baseline,10,0,False
newcand_301,True,popularity_baseline,10,1,True
newcand_302,True,popularity_baseline,10,0,False
newcand_303,True,popularity_baseline,10,2,True
newcand_304,True,popularity_baseline,10,1,True
newcand_305,True,popularity_baseline,10,0,False
newcand_306,False,popularity_baseline,10,0,False
newcand_307,True,popularity_baseline,10,0,False
newcand_308,True,popularity_baseline,10,1,True
newcand_309,True,popularity_baseline,10,0,False
newcand_310,True,popularity_baseline,10,2,True
newcand_311,True,popularity_baseline,10,1,True
newcand_312,False,popularity_baseline,10,0,False
newcand_313,True,popularity_baseline,10,0,False
newcand_314,False,popularity_baseline,10,1,True
newcand_315,True,popularity_baseline,10,0,False
newcand_316,True,popularity_baseline,10,1,True
newcand_317,True,popularity_baseline,10,1,True
newcand_318,True,popularity_baseline,10,2,True
newcand_319,True,popularity_baseline,10,0,False
newcand_320,True,popularity_baseline,10,0,False
newcand_321,True,popularity_baseline,10,1,True
newcand_322,True,popularity_baseline,10,3,True
newcand_323,True,popularity_baseline,10,1,True
newcand_324,True,popularity_baseline,10,1,True
newcand_325,True,popularity_baseline,10,1,True
newcand_326,True,popularity_baseline,10,1,True
newcand_327,True,popularity_baseline,10,1,True
newcand_328,True,popularity_baseline,10,2,True
newcand_329,True,popularity_baseline,10,0,False
newcand_330,True,popularity_baseline,10,0,False
newcand_331,True,popularity_baseline,10,2,True
newcand_332,False,popularity_baseline,10,0,False
newcand_333,True,popularity_baseline,10,1,True
newcand_334,True,popularity_baseline,10,0,False
newcand_335,True,popularity_baseline,10,1,True
newcand_336,True,popularity_baseline,10,2,True
newcand_337,True,popularity_baseline,10,1,True
newcand_338,True,popularity_baseline,10,0,False
newcand_339,True,popularity_baseline,10,1,True
newcand_340,True,popularity_baseline,10,0,False
newcand_341,True,popularity_baseline,10,0,False
newcand_342,True,popularity_baseline,10,3,True
newcand_343,True,popularity_baseline,10,0,False
newcand_344,True,popularity_baseline,10,3,True
newcand_345,True,popularity_baseline,10,1,True
newcand_346,True,popularity_baseline,10,1,True
newcand_347,True,popularity_baseline,10,1,True
newcand_348,False,popularity_baseline,10,0,False
newcand_349,True,popularity_baseline,10,0,False
newcand_350,True,popularity_baseline,10,1,True
newcand_351,True,popularity_baseline,10,3,True
newcand_352,True,popularity_baseline,10,1,True
newcand_353,True,popularity_baseline,10,1,True
newcand_354,True,popularity_baseline,10,0,False
newcand_355,True,popularity_baseline,10,0,False
newcand_356,True,popularity_baseline,10,1,True
newcand_357,True,popularity_baseline,10,2,True
newcand_358,True,popularity_baseline,10,2,True
newcand_359,True,popularity_baseline,10,3,True
newcand_360,True,popularity_baseline,10,3,True
newcand_361,True,popularity_baseline,10,2,True
newcand_362,True,popularity_baseline,10,1,True
newcand_363,True,popularity_baseline,10,1,True
newcand_364,False,popularity_baseline,10,0,False
newcand_365,True,popularity_baseline,10,1,True
newcand_366,True,popularity_baseline,10,1,True
newcand_367,True,popularity_baseline,10,2,True
newcand_368,True,popularity_baseline,10,1,True
newcand_369,True,popularity_baseline,10,2,True
newcand_370,True,popularity_baseline,10,4,True
newcand_371,True,popularity_baseline,10,1,True
newcand_372,True,popularity_baseline,10,0,False
newcand_373,True,popularity_baseline,10,1,True
newcand_374,True,popularity_baseline,10,1,True
newcand_375,True,popularity_baseline,10,1,True
newcand_376,True,popularity_baseline,10,0,False
newcand_377,False,popularity_baseline,10,0,False
newcand_378,True,popularity_baseline,10,0,False
newcand_379,True,popularity_baseline,10,4,True
newcand_380,True,popularity_baseline,10,1,True
newcand_381,True,popularity_baseline,10,5,True
newcand_382,True,popularity_baseline,10,0,False
newcand_383,True,popularity_baseline,10,0,False
newcand_384,False,popularity_baseline,10,0,False
newcand_385,True,popularity_baseline,10,1,True
newcand_386,True,popularity_baseline,10,2,True
newcand_387,True,popularity_baseline,10,0,False
newcand_388,True,popularity_baseline,10,1,True
newcand_389,True,popularity_baseline,10,1,True
newcand_390,True,popularity_baseline,10,2,True
newcand_391,True,popularity_baseline,10,2,True
newcand_392,True,popularity_baseline,10,3,True
newcand_393,True,popularity_baseline,10,1,True
newcand_394,True,popularity_baseline,10,1,True
newcand_395,True,popularity_baseline,10,1,True
newcand_396,True,popularity_baseline,10,1,True
newcand_397,True,popularity_baseline,10,3,True
newcand_398,True,popularity_baseline,10,0,False
newcand_399,True,popularity_baseline,10,1,True
newcand_400,True,popularity_baseline,10,1,True
newcand_401,True,popularity_baseline,10,0,False
newcand_402,True,popularity_baseline,10,2,True
newcand_403,True,popularity_baseline,10,3,True
newcand_404,True,popularity_baseline,10,0,False
newcand_405,False,popularity_baseline,10,0,False
newcand_406,True,popularity_baseline,10,0,False
newcand_407,True,popularity_baseline,10,2,True
newcand_408,True,popularity_baseline,10,1,True
newcand_409,True,popularity_baseline,10,1,True
newcand_410,True,popularity_baseline,10,1,True
newcand_411,True,popularity_baseline,10,1,True
newcand_412,True,popularity_baseline,10,3,True
newcand_413,True,popularity_baseline,10,3,True
newcand_414,True,popularity_baseline,10,0,False
newcand_415,True,popularity_baseline,10,0,False
newcand_416,True,popularity_baseline,10,1,True
newcand_417,True,popularity_baseline,10,1,True
newcand_418,True,popularity_baseline,10,1,True
newcand_419,True,popularity_baseline,10,4,True
newcand_420,True,popularity_baseline,10,2,True
newcand_421,True,popularity_baseline,10,2,True
newcand_422,True,popularity_baseline,10,2,True
newcand_423,False,popularity_baseline,10,1,True
newcand_424,True,popularity_baseline,10,1,True
newcand_425,True,popularity_baseline,10,1,True
newcand_426,True,popularity_baseline,10,0,False
newcand_427,True,popularity_baseline,10,2,True
newcand_428,True,popularity_baseline,10,0,False
newcand_429,True,popularity_baseline,10,1,True
newcand_430,True,popularity_baseline,10,0,False
newcand_431,True,popularity_baseline,10,2,True
newcand_432,True,popularity_baseline,10,0,False
newcand_433,True,popularity_baseline,10,0,False
newcand_434,False,popularity_baseline,10,1,True
newcand_435,True,popularity_baseline,10,0,False
newcand_436,True,popularity_baseline,10,0,False
newcand_437,True,popularity_baseline,10,2,True
newcand_438,True,popularity_baseline,10,2,True
newcand_439,True,popularity_baseline,10,2,True
newcand_440,True,popularity_baseline,10,0,False
newcand_441,True,popularity_baseline,10,2,True
newcand_442,True,popularity_baseline,10,0,False
newcand_443,True,popularity_baseline,10,2,True
newcand_444,True,popularity_baseline,10,1,True
newcand_445,True,popularity_baseline,10,0,False
newcand_446,True,popularity_baseline,10,0,False
newcand_447,True,popularity_baseline,10,1,True
newcand_448,True,popularity_baseline,10,1,True
newcand_449,True,popularity_baseline,10,0,False
newcand_450,True,popularity_baseline,10,3,True
newcand_451,True,popularity_baseline,10,2,True
newcand_452,True,popularity_baseline,10,3,True
newcand_453,True,popularity_baseline,10,0,False
newcand_454,True,popularity_baseline,10,2,True
newcand_455,True,popularity_baseline,10,2,True
newcand_456,False,popularity_baseline,10,0,False
newcand_457,True,popularity_baseline,10,2,True
newcand_458,True,popularity_baseline,10,1,True
newcand_459,True,popularity_baseline,10,2,True
newcand_460,True,popularity_baseline,10,0,False
newcand_461,True,popularity_baseline,10,1,True
newcand_462,True,popularity_baseline,10,2,True
newcand_463,True,popularity_baseline,10,1,True
newcand_464,True,popularity_baseline,10,1,True
newcand_465,True,popularity_baseline,10,2,True
newcand_466,True,popularity_baseline,10,1,True
newcand_467,True,popularity_baseline,10,2,True
newcand_468,True,popularity_baseline,10,0,False
newcand_469,True,popularity_baseline,10,0,False
newcand_470,False,popularity_baseline,10,1,True
newcand_471,True,popularity_baseline,10,2,True
newcand_472,True,popularity_baseline,10,0,False
newcand_473,True,popularity_baseline,10,1,True
newcand_474,True,popularity_baseline,10,1,True
newcand_475,True,popularity_baseline,10,1,True
newcand_476,True,popularity_baseline,10,0,False
newcand_477,False,popularity_baseline,10,1,True
newcand_478,True,popularity_baseline,10,2,True
newcand_479,True,popularity_baseline,10,1,True
newcand_480,True,popularity_baseline,10,2,True
newcand_481,True,popularity_baseline,10,0,False
newcand_482,False,popularity_baseline,10,0,False
newcand_483,True,popularity_baseline,10,2,True
newcand_484,True,popularity_baseline,10,0,False
newcand_485,True,popularity_baseline,10,1,True
newcand_486,True,popularity_baseline,10,1,True
newcand_487,True,popularity_baseline,10,1,True
newcand_488,True,popularity_baseline,10,1,True
newcand_489,True,popularity_baseline,10,1,True
newcand_490,True,popularity_baseline,10,0,False
newcand_491,True,popularity_baseline,10,2,True
newcand_492,True,popularity_baseline,10,2,True
newcand_493,True,popularity_baseline,10,0,False
newcand_494,True,popularity_baseline,10,0,False
newcand_495,True,popularity_baseline,10,1,True
newcand_496,True,popularity_baseline,10,1,True
newcand_497,True,popularity_baseline,10,1,True
newcand_498,True,popularity_baseline,10,1,True
newcand_499,True,popularity_baseline,10,1,True
newcand_500,True,popularity_baseline,10,0,False
newcand_501,False,popularity_baseline,10,2,True
newcand_502,True,popularity_baseline,10,3,True
newcand_503,True,popularity_baseline,10,0,False
newcand_504,True,popularity_baseline,10,0,False
newcand_505,True,popularity_baseline,10,2,True
newcand_506,False,popularity_baseline,10,0,False
newcand_507,True,popularity_baseline,10,2,True
newcand_508,True,popularity_baseline,10,1,True
newcand_509,True,popularity_baseline,10,0,False
newcand_510,True,popularity_baseline,10,3,True
newcand_511,True,popularity_baseline,10,2,True
newcand_512,True,popularity_baseline,10,1,True
newcand_513,True,popularity_baseline,10,1,True
newcand_514,True,popularity_baseline,10,1,True
newcand_515,True,popularity_baseline,10,0,False
newcand_516,True,popularity_baseline,10,2,True
newcand_517,True,popularity_baseline,10,2,True
newcand_518,True,popularity_baseline,10,3,True
newcand_519,True,popularity_baseline,10,1,True
newcand_520,True,popularity_baseline,10,1,True
newcand_521,False,popularity_baseline,10,0,False
newcand_522,True,popularity_baseline,10,3,True
newcand_523,True,popularity_baseline,10,1,True
newcand_524,True,popularity_baseline,10,1,True
newcand_525,False,popularity_baseline,10,1,True
newcand_526,True,popularity_baseline,10,3,True
newcand_527,True,popularity_baseline,10,4,True
newcand_528,True,popularity_baseline,10,0,False
newcand_529,False,popularity_baseline,10,0,False
newcand_530,True,popularity_baseline,10,0,False
newcand_531,True,popularity_baseline,10,0,False
newcand_532,True,popularity_baseline,10,0,False
newcand_533,True,popularity_baseline,10,2,True
newcand_534,False,popularity_baseline,10,0,False
newcand_535,True,popularity_baseline,10,1,True
newcand_536,True,popularity_baseline,10,2,True
newcand_537,True,popularity_baseline,10,0,False
newcand_538,True,popularity_baseline,10,1,True
newcand_539,True,popularity_baseline,10,2,True
newcand_540,True,popularity_baseline,10,1,True
newcand_541,True,popularity_baseline,10,2,True
newcand_542,True,popularity_baseline,10,0,False
newcand_543,True,popularity_baseline,10,1,True
newcand_544,True,popularity_baseline,10,0,False
newcand_545,True,popularity_baseline,10,2,True
newcand_546,True,popularity_baseline,10,0,False
newcand_547,True,popularity_baseline,10,0,False
newcand_548,False,popularity_baseline,10,0,False
newcand_549,True,popularity_baseline,10,0,False
newcand_550,True,popularity_baseline,10,1,True
newcand_551,True,popularity_baseline,10,0,False
newcand_552,False,popularity_baseline,10,1,True
newcand_553,True,popularity_baseline,10,2,True
newcand_554,False,popularity_baseline,10,0,False
newcand_555,True,popularity_baseline,10,1,True
newcand_556,True,popularity_baseline,10,0,False
newcand_557,True,popularity_baseline,10,0,False
newcand_558,True,popularity_baseline,10,0,False
newcand_559,True,popularity_baseline,10,0,False
newcand_560,True,popularity_baseline,10,2,True
newcand_561,True,popularity_baseline,10,3,True
newcand_562,True,popularity_baseline,10,3,True
newcand_563,True,popularity_baseline,10,2,True
newcand_564,False,popularity_baseline,10,0,False
newcand_565,False,popularity_baseline,10,0,False
newcand_566,True,popularity_baseline,10,2,True
newcand_567,True,popularity_baseline,10,0,False
newcand_568,True,popularity_baseline,10,0,False
newcand_569,True,popularity_baseline,10,0,False
newcand_570,True,popularity_baseline,10,2,True
newcand_571,True,popularity_baseline,10,1,True
newcand_572,False,popularity_baseline,10,0,False
newcand_573,True,popularity_baseline,10,1,True
newcand_574,True,popularity_baseline,10,1,True
newcand_575,True,popularity_baseline,10,3,True
newcand_576,True,popularity_baseline,10,0,False
newcand_577,True,popularity_baseline,10,4,True
newcand_578,True,popularity_baseline,10,4,True
newcand_579,True,popularity_baseline,10,3,True
newcand_580,True,popularity_baseline,10,0,False
newcand_581,True,popularity_baseline,10,0,False
newcand_582,True,popularity_baseline,10,1,True
newcand_583,True,popularity_baseline,10,0,False
newcand_584,True,popularity_baseline,10,1,True
newcand_585,True,popularity_baseline,10,1,True
newcand_586,False,popularity_baseline,10,0,False
newcand_587,True,popularity_baseline,10,2,True
newcand_588,True,popularity_baseline,10,1,True
newcand_589,True,popularity_baseline,10,3,True
newcand_590,True,popularity_baseline,10,1,True
newcand_591,True,popularity_baseline,10,0,False
newcand_592,True,popularity_baseline,10,0,False
newcand_593,True,popularity_baseline,10,0,False
newcand_594,False,popularity_baseline,10,0,False
newcand_595,True,popularity_baseline,10,3,True
newcand_596,True,popularity_baseline,10,0,False
newcand_597,True,popularity_baseline,10,2,True
newcand_598,True,popularity_baseline,10,1,True
newcand_599,True,popularity_baseline,10,1,True
newcand_600,True,popularity_baseline,10,1,True
newcand_601,True,popularity_baseline,10,0,False
newcand_602,True,popularity_baseline,10,1,True
newcand_603,True,popularity_baseline,10,0,False
newcand_604,True,popularity_baseline,10,2,True
newcand_605,True,popularity_baseline,10,3,True
newcand_606,True,popularity_baseline,10,2,True
newcand_607,True,popularity_baseline,10,0,False
newcand_608,True,popularity_baseline,10,0,False
newcand_609,True,popularity_baseline,10,0,False
newcand_610,True,popularity_baseline,10,1,True
newcand_611,True,popularity_baseline,10,0,False
newcand_612,False,popularity_baseline,10,0,False
newcand_613,False,popularity_baseline,10,1,True
newcand_614,True,popularity_baseline,10,0,False
newcand_615,True,popularity_baseline,10,2,True
newcand_616,True,popularity_baseline,10,0,False
newcand_617,True,popularity_baseline,10,1,True
newcand_618,False,popularity_baseline,10,0,False
newcand_619,True,popularity_baseline,10,2,True
newcand_620,True,popularity_baseline,10,0,False
newcand_621,False,popularity_baseline,10,0,False
newcand_622,True,popularity_baseline,10,1,True
newcand_623,True,popularity_baseline,10,1,True
newcand_624,True,popularity_baseline,10,2,True
newcand_625,True,popularity_baseline,10,2,True
newcand_626,True,popularity_baseline,10,1,True
newcand_627,True,popularity_baseline,10,2,True
newcand_628,True,popularity_baseline,10,1,True
newcand_629,True,popularity_baseline,10,4,True
newcand_630,True,popularity_baseline,10,2,True
newcand_631,True,popularity_baseline,10,2,True
